epoch,group,accuracy,precision,recall,f1
11,dropbackType,0.5,0.25,0.5,0.3333333333333333
11,passLocationType,0.5,0.25,0.5,0.3333333333333333
11,pff_runConceptPrimary,0.5,0.25,0.5,0.3333333333333333
11,pff_runConceptSecondary,1.0,1.0,1.0,1.0
11,pff_passCoverage,1.0,1.0,1.0,1.0
11,pff_manZone,1.0,1.0,1.0,1.0
11,routeRanQB0,1.0,1.0,1.0,1.0
11,routeRanWR0,0.0,0.0,0.0,0.0
11,routeRanWR1,0.0,0.0,0.0,0.0
11,routeRanWR2,0.0,0.0,0.0,0.0
11,routeRanWR3,1.0,1.0,1.0,1.0
11,routeRanWR4,1.0,1.0,1.0,1.0
11,routeRanRB0,0.0,0.0,0.0,0.0
11,routeRanRB1,1.0,1.0,1.0,1.0
11,routeRanRB2,1.0,1.0,1.0,1.0
11,routeRanTE0,0.5,0.25,0.5,0.3333333333333333
11,routeRanTE1,1.0,1.0,1.0,1.0
11,routeRanTE2,1.0,1.0,1.0,1.0
12,offenseFormation,0.5,0.25,0.5,0.3333333333333333
12,receiverAlignment,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
12,dropbackType,0.5,0.25,0.5,0.3333333333333333
12,passLocationType,0.5,0.25,0.5,0.3333333333333333
12,pff_runConceptPrimary,0.5,0.25,0.5,0.3333333333333333
12,pff_runConceptSecondary,1.0,1.0,1.0,1.0
12,pff_passCoverage,1.0,1.0,1.0,1.0
12,pff_manZone,1.0,1.0,1.0,1.0
12,routeRanQB0,1.0,1.0,1.0,1.0
12,routeRanWR0,0.0,0.0,0.0,0.0
12,routeRanWR1,0.0,0.0,0.0,0.0
12,routeRanWR2,0.0,0.0,0.0,0.0
12,routeRanWR3,1.0,1.0,1.0,1.0
12,routeRanWR4,1.0,1.0,1.0,1.0
12,routeRanRB0,0.0,0.0,0.0,0.0
12,routeRanRB1,1.0,1.0,1.0,1.0
12,routeRanRB2,1.0,1.0,1.0,1.0
12,routeRanTE0,0.0,0.0,0.0,0.0
12,routeRanTE1,1.0,1.0,1.0,1.0
12,routeRanTE2,1.0,1.0,1.0,1.0
13,offenseFormation,0.5,0.25,0.5,0.3333333333333333
13,receiverAlignment,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
13,dropbackType,0.5,0.25,0.5,0.3333333333333333
13,passLocationType,0.5,0.25,0.5,0.3333333333333333
13,pff_runConceptPrimary,0.5,0.25,0.5,0.3333333333333333
13,pff_runConceptSecondary,1.0,1.0,1.0,1.0
13,pff_passCoverage,0.0,0.0,0.0,0.0
13,pff_manZone,1.0,1.0,1.0,1.0
13,routeRanQB0,1.0,1.0,1.0,1.0
13,routeRanWR0,0.0,0.0,0.0,0.0
13,routeRanWR1,0.0,0.0,0.0,0.0
13,routeRanWR2,0.0,0.0,0.0,0.0
13,routeRanWR3,1.0,1.0,1.0,1.0
13,routeRanWR4,1.0,1.0,1.0,1.0
13,routeRanRB0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
13,routeRanRB1,1.0,1.0,1.0,1.0
13,routeRanRB2,1.0,1.0,1.0,1.0
13,routeRanTE0,0.0,0.0,0.0,0.0
13,routeRanTE1,1.0,1.0,1.0,1.0
13,routeRanTE2,1.0,1.0,1.0,1.0
14,offenseFormation,0.5,0.25,0.5,0.3333333333333333
14,receiverAlignment,0.5,0.25,0.5,0.3333333333333333
14,dropbackType,0.5,0.25,0.5,0.3333333333333333
14,passLocationType,0.5,0.25,0.5,0.3333333333333333
14,pff_runConceptPrimary,0.5,0.25,0.5,0.3333333333333333
14,pff_runConceptSecondary,1.0,1.0,1.0,1.0
14,pff_passCoverage,0.0,0.0,0.0,0.0
14,pff_manZone,1.0,1.0,1.0,1.0
14,routeRanQB0,1.0,1.0,1.0,1.0
14,routeRanWR0,0.0,0.0,0.0,0.0
14,routeRanWR1,0.0,0.0,0.0,0.0
14,routeRanWR2,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
14,routeRanWR3,1.0,1.0,1.0,1.0
14,routeRanWR4,1.0,1.0,1.0,1.0
14,routeRanRB0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
14,routeRanRB1,1.0,1.0,1.0,1.0
14,routeRanRB2,1.0,1.0,1.0,1.0
14,routeRanTE0,0.0,0.0,0.0,0.0
14,routeRanTE1,1.0,1.0,1.0,1.0
14,routeRanTE2,1.0,1.0,1.0,1.0
15,offenseFormation,0.5,0.25,0.5,0.3333333333333333
15,receiverAlignment,0.0,0.0,0.0,0.0
15,dropbackType,0.5,0.25,0.5,0.3333333333333333
15,passLocationType,0.5,0.25,0.5,0.3333333333333333
15,pff_runConceptPrimary,0.5,0.25,0.5,0.3333333333333333
15,pff_runConceptSecondary,1.0,1.0,1.0,1.0
15,pff_passCoverage,1.0,1.0,1.0,1.0
15,pff_manZone,1.0,1.0,1.0,1.0
15,routeRanQB0,1.0,1.0,1.0,1.0
15,routeRanWR0,0.0,0.0,0.0,0.0
15,routeRanWR1,0.0,0.0,0.0,0.0
15,routeRanWR2,0.0,0.0,0.0,0.0
15,routeRanWR3,1.0,1.0,1.0,1.0
15,routeRanWR4,1.0,1.0,1.0,1.0
