epoch,group,precision,recall,f1
5,pff_manZone,0.5,0.25,0.5,0.3333333333333333
5,routeRanQB0,1.0,1.0,1.0,1.0
5,routeRanWR0,0.0,0.0,0.0,0.0
5,routeRanWR1,0.0,0.0,0.0,0.0
5,routeRanWR2,0.0,0.0,0.0,0.0
5,routeRanWR3,1.0,1.0,1.0,1.0
5,routeRanWR4,1.0,1.0,1.0,1.0
5,routeRanRB0,0.0,0.0,0.0,0.0
5,routeRanRB1,1.0,1.0,1.0,1.0
5,routeRanRB2,1.0,1.0,1.0,1.0
5,routeRanTE0,0.0,0.0,0.0,0.0
5,routeRanTE1,1.0,1.0,1.0,1.0
5,routeRanTE2,1.0,1.0,1.0,1.0
6,offenseFormation,0.0,0.0,0.0,0.0
6,receiverAlignment,0.0,0.0,0.0,0.0
6,dropbackType,0.5,0.5,0.25,0.3333333333333333
6,passLocationType,0.5,0.25,0.5,0.3333333333333333
6,pff_runConceptPrimary,1.0,1.0,1.0,1.0
6,pff_runConceptSecondary,1.0,1.0,1.0,1.0
6,pff_passCoverage,0.5,0.25,0.5,0.3333333333333333
6,pff_manZone,0.5,0.25,0.5,0.3333333333333333
6,routeRanQB0,1.0,1.0,1.0,1.0
6,routeRanWR0,0.0,0.0,0.0,0.0
6,routeRanWR1,0.0,0.0,0.0,0.0
6,routeRanWR2,0.0,0.0,0.0,0.0
6,routeRanWR3,1.0,1.0,1.0,1.0
6,routeRanWR4,1.0,1.0,1.0,1.0
6,routeRanRB0,0.0,0.0,0.0,0.0
6,routeRanRB1,1.0,1.0,1.0,1.0
6,routeRanRB2,1.0,1.0,1.0,1.0
6,routeRanTE0,0.0,0.0,0.0,0.0
6,routeRanTE1,1.0,1.0,1.0,1.0
6,routeRanTE2,1.0,1.0,1.0,1.0
